inquiry_id,title,content_preview,label,label_kr,should_respond,strategy,action,rationale
26,과제 제출 완료 시점 문의,안녕하세요? 과제 제출 완료 시점도 1월 9일까지인가요?,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
27,실습 파일 다운로드할 수 있게 공유 부탁 드립니다. ,실습 환경이 불편해서 로컬에서 실습하고 있는데요. RAG 이론 실습 부터 갑자기 파일이 많아 지네요. 주피터 노트북 파일과 실습 파일을 다운로드할 수 있게 공유 가능하신가요?추가로 기한내에 과제를 제출 못해서 이수를 못하면 컬리지에서 재수강을 따로 신청해야 하나요? 아,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
28,"최종 과제 영역에 "" 3개의 강의를 완료하면 과제를 시작할 수 있습니다""를 ""전체 강의""로 변경 요청","최종 과제 화면 영역에 Comment ""3개의 강의를 완료하면 과제를 시작할 수 있습니다""를""6개의 전체 강의를 완료하면 과제를 시작할 수 있습니다""로 변경해 주세요.",COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
29,[AI Bootcamp] 다음 강의 수강 불가,강의 완료 후 다음 강의 수강이 불가합니다.강의 수강 완료 후 완료된 강의 접속 시 처음부터 시작 됩니다.,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
30,"AI Bootcamp, AI Master Project 비활성화인데 활성화가 되려면 어떻게 해야 하나요 ? ","AI Bootcamp, AI Master Project 비활성화인데 활성화가 되려면 어떻게 해야 하나요 ?",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
31,실습인증 Literacy가 언제 활성화 되나요 ?,"생성형 AI 이해 1,  Prompt Eng 2,  생성형 AI 활용사례 3 강의 완료 후에 하루지나면 인증시험이 활성화가 되는 줄 알고 기다렸는데요. 다음날 되도 계속 상태가 변경이 되지 않아서요. 어떻게 해야 활성화가 되나요 ?",ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
32,[실습/인증] AI Literacy 인증시험 사전 연습,인증시험 사전연습 버튼을 잘못 눌러서 횟수 차감이 되었는데 해당건 횟수 복구가 가능할지요?,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
33,AI Bootcamp 수강불가 문의,"AI Bootcamp lv2에 대해 '결과확인' 버튼을 누르니 ""아쉽게도 이번 부트캠프 과정을 수료하지 못하셨습니다."" 라고 화면이 표시됩니다재수강을 원할 경우 원하는 수강 회차에 재수강 해야하나요?",ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
34,AI Literacy 인증시험 사전 연습 관련 문의,인증시험 사전연습 버튼을 잘못 눌러서 횟수 차감이 되었는데 복구 가능한지 문의 드립니다.,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
35,bootcamp 과제등록관련 문의(개발환경),안녕하세요.과제를 등록하려 하는데 bootcamp 사이트내 IDE 를 이용하려 합니다.이전에는 과제등록단계에서 [개발환경]이라는 페이지가 있어서 그 페이지에서 소스등록및 실행을 할 수있었다고 하는데현재는 이 페이지가 없습니다. 따라서 [기획및 설계]단계에서 등록할 결과,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
36,AI Literacy 실습/인증 관련,안녕하세요 AI Literacy 실습/인증시 화면이 먹통이 되더니 다시 재접한 결과 연습 0회 및 인증 시작도 되지 않습니다.확인 부탁드리겠습니다.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
37,Bootcamp 강의 문의,복습 차원에서 부트캠프 수업을 다시 듣고 싶은데요강의 다시 들을 수 있을까요?,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
38,최종과제 제출,과제 제출 tab에서 화면 로딩만 무한으로 계속돌고 진행이 되지않습니다.,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
39,최종과제 접속불가,저도 최종과제 무한로딩 상태입니다. 오늘 계속그러네요.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
40,AI Literacy 실습 및 인증 시험 ,"안녕하세요?1. AI Literacy 실습 - 클릭 후 화면이 안나와서 리프레시 몇번했더니 연습 회수가 3번정도 사라졌습니다 가능하면 원복 부탁드립니다2.  AI Literacy 인증 시험 활성화 - 연습횟수 완료 후 인증 시험 버튼 활성화가 되지않아서,    Coll",ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
41,Bootcamp 활성화 문의,안녕하세요bootcamp 가 비활성화 되어있는데 언제 활성화 되는지 문의 드립니다.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
42,BootCamp 강의 복습 불가하나요?,AI 리터러시 단계는 수료했는데요 지금 강의 리터러시 교육 강의 영상을 다시 볼 수 있던데요. AI 부트캠프 단계는 복습이 불가능해요?,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
43,sqlite문의,sqlite 파일 이름을 계속 바꾸어 테스트를 하여도 계속 락이 걸렷다는 메세지가 뜨는 이유는 뭔가요?,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
44,web vdi가 없어서 동료 web vdi에서 작업하고 있는데,과제 제출하면 동료 과제로 등록되는건가요,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
45,1,,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
46,지금 인베딩 동시 요청 초과 인가요?,문서 인덱싱하는데 아무 응답이 없어서요,FEATURE_REQUEST,기능 개선/건의,True,prompt_direct,감사 메시지 + 전달 확인,"단순 접수 확인, 복잡한 처리 불필요"
47,마이프로필에 이수이력 갱신 여부 문의,"안녕하세요마이 프로필에 있는 이수이력 갱신은 언제쯤 되는 건지 궁금합니다.Master 수료 완료한 상태인데, 리터러시와 Master 단계가 진행중으로 표시되서 문의 드립니다.",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
48,작년에 ai bootcamp 완료하면 literacy도 같이 이수한다고 전달받았습니다.,작년에 ai bootcamp 완료하면 literacy도 같이 이수한다고 전달받았습니다.현재 literacy 가 수료되었다고 안나오는데 따로 신청해야 이수표시가 되는건지요?,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
49,"[실습/인증] AI Literacy ""인증시작하기"" 문의",안녕하세요.[실습/인증] AI Literacy 수강 완료 후 인증시작하기 버튼이 비활성화 되어 문의드립니다.다른분 문의 답변에 AX College 에서 신청 가능하다고 하여AI Literacy 인증 수강 신청을 의미하는 것인지 문의 드립니다. 해당 교육 일정은 2026,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
50,AI Literacy 실습하기 문의(인증시험버튼 활성화) - 확인해서 신청했습니다.,AI Literacy 모의 인증 테스트 진행후에 인증 시험 버튼이 활성화가 되지 않습니다.혹시 추가 진행해야 하는 부분이 있는지요?,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
51,'26년 Boot Camp는 언제 신청이 가능할까요?  --> 확인했습니다.,금년도 Boot Camp 강의 신청은 언제 가능할까요?AX College에서 찾지를 못하겠네요,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
52,[Bootcamp] 최종과제 평가결과 및 강의자료 문의 건,"안녕하세요, Bootcamp 최종과제 평과결과 발표일자와 실습, 강의자료 복습차 공유받을 수 있을지 문의드립니다.",COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
53,[실습/인증] AI Literacy 모의 인증 횟수 원복해주실수 있나요?,모의 인증 시험을 모두 완료하면 바로 인증시험을 온라인으로 진행 가능하다고 잘못 생각해서 진행을 모두 완료했는데요.가장 빠른 시험을 신청하고 보니 아직 1달 이상 남아서 모의 인증 횟수(연습)하는것을 원복해주실수 있는지 문의 드립니다.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
54,Bootcamp 이수 문의,안녕하세요. 어제(1/19)부터 AI Bootcamp 과정을 진행 중입니다.AI Bootcamp 이수 전에 AI Literacy 과정을 먼저 이수해야 한다고 하는데 현재 강의는 전체 수강했지만AI Literacy 인증 시험 날짜가 2/25일로 AI Bootcamp 수료,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
55,AI Master Project 이력 확인,안녕하세요.기존에 진행하던 페이지가 현재 접속되지 않는것으로 보여서요.혹시 제가 참여했었던 AI Master Project의 최종 산출물 자료를 다시 받아 볼 수 있을지 문의 드립니다.확인 부탁드리겠습니다.감사합니다.,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
56,SK AX 보안 점검 중입니다.,"SK AX 보안 점검 중입니다.

문제 발생 시 연락 바랍니다.
점검자 : 박연우
연락처 : 01096279604",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
57,Bootcamp 과제 작성 중 문의,"안녕하세요.Prompt Engineering -> [과제] 생성 품질 향상 기법   메뉴에서 과제를 입력하던 중에,오른쪽 프레임 화면 자체가 첨부한 캡쳐와 같이 변경되었습니다.(과제 설명, 입력란 등 없이, 텍스트 작성기만 화면 전체에 표시됨)원래 화면대로 돌아가려면 ",SERVICE_GUIDE,서비스 이용 가이드,True,prompt_direct,FAQ 또는 공지사항 링크 제공,"정적 문서, 링크 제공으로 충분"
58,AI Bootcamp 실습환경 초기화,이것저것 눌러보다가 위 화면같이 실습화면에 예제나 초기 화면이 나오지 않습니다.실습환경 초기화는 어떻게 하는지 알수있을까요?,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
59,ai bootcamp 어디서 신청하면 되나요?,ai bootcamp 어디서 언제 신청하면 되는지 궁금합니다.,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
60,AI BootCamp 이수관련,"AI Bootcamp를 작년에 수강신청을 했습니다.아직 프로젝트를 마무리 하지 못해서 수강하려는데, 수강신청 기간 종료라고 나오고 AI BootCamp과목 수강 버튼이 비활성화 되어있습니다.",ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
61,AI Literacy 실습하기 문의(인증시험버튼 활성화),안녕하세요?AI Leiteracy 인증시험 전 사전실습하기 최종제출버튼 클릭 후인증시험 버튼이 비활성화 입니다....인증시험까지 완료 된 것인지요?,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
62,AI Bootcamp 이수,AX College에서 AI Bootcamp 수강신청이 안되는데 언제 가능할까요?,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
63,AI BootCamp 미이수 관련 질의,안녕하세요 .첨부 사진과 같이 미이수 결과의 경우 과제 재 제출란이 있는데해당란을 통해 추가 제출을 진행하면 재심사를 받는것인지 혹은 다음 차수에서 추가 이수를 해야하는지 문의드립니다.,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
64,AI BootCamp 질문,안녕하세요이번 결과확인 화면에서 기존에 제출했던 산출물에 대한 확인이 가능한건가요?아니면 현재 점검 또는 오류로 조회되지 않는것인가요?,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
65,과제 제출하고 완성도(?) 이걸로 미수료 처리되었는데요,다음 차수 다시 도전할수 있는건가요?,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
66,최종 결과발표 전 사전으로 검토나 피드백을 받고싶습니다.,최종 발표시에만 결과가 공개되는걸까요?,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
67,8주 목표 설정,현재 skill / 역량 부분을 작성하고 있습니다.해당 8주 목표 설정을 세부적으로 정해야하나요? 아니면 포괄적으로 정리하고 이후 과제를 구체화 해도 되나요??,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
68,동영상 강의가 짤린 것 같아요,Azure OpenAI & LangChain 강의에서6장. LangGraph 기초 및 활용 - LangGraph 구조을 듣고있습니다.강의 내용 중에 LangGraph 가 이전 대화내용윽 기억하기 위해 MemorySaver() 를 사용하면 된다는 코드 내용이 있는데21:,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
69,강의 이어 듣기 재생이 않되네요,"AI Literacy 강의 이어듣기를 하려고 하는데, 동영상 플레이가 뚝뚝 끊기네요",COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
70,AI Literacy 강의관련,안녕하세요.마이페이지에 'AI Literacy'는 '진행중'으로 남아 있습니다.과정에 할당된 강의는 모두 들었는데 '이수' 조건이 따로 있는 지요?감사합니다.,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
71, AI Literacy 실습하기 문의,"안녕하세요, 금일 4시간 뒤에 시험을 칠 예정으로, 현재 교육을 다 이수하고 연습 차원에서 실습을 연습 2회 및 인증 시험 까지 쳤는데, 이 시험이 실제시험과 다른 시험인건가요?실제 시험까지 네시간 남짓 남은 상황에서 인증 시험을 마무리 한 후 인증 시험 채점 대기중으",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
73,[긴급] 미국법인 인증 시험 활성화 필요 (1/29 오후 4시),미국법인 HR 담당자입니다.시간차로 본사 담당자 연락이 닿지 않아 연락드립니다.시험 시작 전 4분전인데 아직도 인증 시험이 활성화 되어 있지 않습니다.오전까지는 분명 활성화 된것을 확인 했는데 없어졌네요.바로 확인 부탁드립니다.,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
74,AI Bootcamp 최종과제 문의,Step2 기획및 설계 파트에서 소스실행하여 나오는 결과 영상 입력 항목이 존재하는데 실행결과 관련해서는 Step3 서비스개발단계에서 영상 확인이 가능합니다.Step2 기획및 설계에 특정항목은 작성을 안하고 제출한뒤 서비스개발 및 동작구현을 완료하고 다시 step2로 ,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
75,AI Literacy 평가 문의,"안녕하세요. 정성우 입니다. 

AI Literacy 인증 시험을 완료하였고, 마이페이지 > 인증시험 이력 > 시험의 상태정보를 확인해보면, 상태 값이 평가 대기중으로 표시됩니다.

이와 관련하여 2가지 문의 드립니다.

1. 문항 선택 시 Tech 문항을 선택했는데,",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
76,AI Bootcamp 최종과제 문의,평가 하시는 분이 readme에 필수라이브러리 설치 실행법이랑 서비스 구동 넣어놨는데 평가하시면서 지정된 라이브러리설치하고 평가를 진행하시나요? 아니라면 라이브러리설치 안하는 쪽으로 소스수정을 진행해야해서요,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
77,강의 중 소스코드 문의,"bootcamp 다음 강의를 듣고있습니다. : 

서비스 개발 및 패키징 ->
[실습] 서버 클라이언트 구조

server 디렉터리의 main.py 에 다음과 같이 실행하라고 되어있는데요..# 실행은 server 경로에서# . venv/bin/activate# uvic",COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
78,[실습/인증] AI Literacy 인증시험 사전 연습 복구,연습한지 오래되서 시험전 다시 연습이 필요한데 사전 연습 횟수 복구가 가능한지 문의드립니다.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
79,AI Bootcamp 최종 과제 제출 관련 문의 드립니다.,"안녕하세요.최종 과제 화면을 보면 저장/제출 버튼이 있는데과제 평가는 '제출'한 기준으로 하시는 건가요?제가 과제를 제출한 뒤에 이것 저것 변경해 보았는데, 평가는 제출한 내용으로 받고 싶어서 문의 드립니다.감사합니다.",ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
80,에러 해결이 안돼요ㅠㅠ,"requests.exceptions.ConnectionError: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/trend (Caused by NewConnecti",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
81,AI Talent Lab 로그인 비밀번호 변경,안녕하세요?로그인 비밀번호를 변경하려면 어디서 해야 하나요?감사합니다.,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
82,Bootcamp 각 과목별 과제 문의,총 6개 과목별로 마지막 단계에 있는 과제도 필수로 제출해야하는건지 궁금합니다단순히 개인별 과목 실습을 하면서 정리해보는 정도의 과제인건지아니면 이것도 과정 이수를 위해 필수로 제출해야하는 과제인지 알고싶습니다.,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
83,ai 멘토 커맨트,안녕하세요.현재 AI Master Project 참여중입니다.각 과제를 작성한 후 AI 멘토의 코맨트를 받을 수 있는 것 같은데요.어느 시점에 코맨트가 작성되는지 궁금합니다.과제를 작성중에서 -> 검토요청 -> 다시 작성중으로 바뀌면 작성되는 것 같기도 하고...지금은,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
84,삭제,확인 되어 삭제 합니다.삭제 기능이 없어 그냥 수정 하였습니다.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
85,과제가 제출이 되어버렸습니다.,"안녕하세요.아직 과제 진행중이였는데, 어느 순간 과제가 제출이 되어버린 것 같습니다.2/13까지 계속 소스 수정보완해서 제출하려고 했는데,현재 상태에서 가능할런지요?",SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
86,AI Literacy 인증 신청은 어떻게 하는 건가요?,"하루한테 물어보면 AI talent lab에 접속하라고 하는데, AI talent lab에는 관련 안내가 없네요.",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
87,실습 환경에 파이썬 패키지 설치 문의,실습 과제를 하다 보니 pdf로 문서를 변환시켜주는 기능을 개발중인데요pip install fpdf2설치하여 해당 모듈에서 제공하는 클래스를 활용해보고 싶은데 가능한지 문의드립니다.,ASSIGNMENT_DEVELOPMENT,과제 개발 방법 문의,True,tool_rag,RAG로 유사 과제 검색 + Tool로 코드 예시 생성,"개별 과제마다 다름, 과거 사례 및 예시 필요"
88,ai bootcamp 수료 후 실습 및 과제 다시 확인하는 방법은 없을까요?,ai bootcamp 수료 후 실습 및 과제 다시 확인하는 방법은 없을까요?,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
